WandB init failed, proceeding without WandB logging.
2025-11-15 20:01:45,395 - INFO - Metric - pct_done: 68.37427023615422
2025-11-15 20:02:02,922 - INFO - Metric - reduce_avg_time: 0.0006491515459837736
2025-11-15 20:02:02,923 - INFO - Metric - errors: 0
2025-11-15 20:02:02,923 - INFO - Metric - pct_done: 71.00404986062168
2025-11-15 20:02:16,449 - INFO - Metric - reduce_avg_time: 0.0004830713953290667
2025-11-15 20:02:16,450 - INFO - Metric - errors: 0
2025-11-15 20:02:16,450 - INFO - Metric - pct_done: 73.63382948508915
2025-11-15 20:02:25,827 - INFO - Metric - reduce_avg_time: 0.00032333371557038406
2025-11-15 20:02:25,828 - INFO - Metric - errors: 0
2025-11-15 20:02:25,828 - INFO - Metric - pct_done: 76.26360910955661
2025-11-15 20:02:37,179 - INFO - Metric - reduce_avg_time: 0.0003783681551615397
2025-11-15 20:02:37,181 - INFO - Metric - errors: 0
2025-11-15 20:02:37,181 - INFO - Metric - pct_done: 78.89338873402409
2025-11-15 20:02:47,612 - INFO - Metric - reduce_avg_time: 0.0003364936613267468
2025-11-15 20:02:47,613 - INFO - Metric - errors: 0
2025-11-15 20:02:47,613 - INFO - Metric - pct_done: 81.52316835849156
2025-11-15 20:02:59,847 - INFO - Metric - reduce_avg_time: 0.00038230786472558977
2025-11-15 20:02:59,848 - INFO - Metric - errors: 0
2025-11-15 20:02:59,848 - INFO - Metric - pct_done: 84.15294798295902
2025-11-15 20:03:13,342 - INFO - Metric - reduce_avg_time: 0.0004088904568643281
2025-11-15 20:03:13,343 - INFO - Metric - errors: 0
2025-11-15 20:03:13,343 - INFO - Metric - pct_done: 86.78272760742651
2025-11-15 20:03:30,589 - INFO - Metric - reduce_avg_time: 0.0005072299943250768
2025-11-15 20:03:30,591 - INFO - Metric - errors: 0
2025-11-15 20:03:30,591 - INFO - Metric - pct_done: 89.41250723189397
2025-11-15 20:03:44,747 - INFO - Metric - reduce_avg_time: 0.00040444976261683874
2025-11-15 20:03:44,748 - INFO - Metric - errors: 0
2025-11-15 20:03:44,748 - INFO - Metric - pct_done: 92.04228685636143
2025-11-15 20:04:02,749 - INFO - Metric - reduce_avg_time: 0.000500004510084788
2025-11-15 20:04:02,749 - INFO - Metric - errors: 0
2025-11-15 20:04:02,749 - INFO - Metric - pct_done: 94.6720664808289
2025-11-15 20:04:24,561 - INFO - Metric - reduce_avg_time: 0.0005895043837057577
2025-11-15 20:04:24,563 - INFO - Metric - errors: 0
2025-11-15 20:04:24,564 - INFO - Metric - pct_done: 97.30184610529638
2025-11-15 20:25:45,555 - INFO - Metric - reduce_avg_time: 0.03371029851311132
2025-11-15 20:25:45,556 - INFO - Metric - errors: 0
2025-11-15 20:25:45,556 - INFO - Metric - pct_done: 99.93162572976385
2025-11-15 20:28:31,441 - INFO - Summary - num_segments: 1314799
2025-11-15 20:28:31,442 - INFO - Summary - num_messages: 5383009610
2025-11-15 20:28:31,442 - INFO - Summary - num_discarded_filtered: 0
2025-11-15 20:28:31,442 - INFO - Summary - num_initial_voyages: 1342406
2025-11-15 20:28:31,442 - INFO - Summary - num_voyages_after_duration_filter: 726935
2025-11-15 20:28:31,442 - INFO - Summary - num_voyages_after_outlier_removal: 726935
2025-11-15 20:28:31,442 - INFO - Summary - num_outlier_removal_errors: 0
2025-11-15 20:28:31,442 - INFO - Summary - num_voyages_after_sampling: 726733
2025-11-15 20:28:31,442 - INFO - Summary - num_sampling_errors: 202
2025-11-15 20:28:31,442 - INFO - Summary - num_final_voyages: 453712
2025-11-15 20:28:31,442 - INFO - Summary - error_code_0: 0
2025-11-15 20:28:31,442 - INFO - Summary - error_code_1: 0
2025-11-15 20:28:31,442 - INFO - Summary - error_code_2: 0
2025-11-15 20:28:31,452 - INFO - Combining vessel type information from all chunks...
2025-11-15 20:28:32,880 - INFO - Combined vessel type map saved to /dtu/blackhole/10/178320/preprocessed_2024/final/vessel_types.pkl
